country	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
DEATH_NR,AD	272	239	: 	303	: 	: 	: 	310	: 	335	301	: 
DEATH_NR,AL	20428	20107	20012	20870	20442	20656	22418	21388	22232	21804	21937	: 
DEATH_NR,AM	27560	27921	27963	: 	27196	27714	27878	28226	27157	25751	26186	: 
DEATH_NR,AT	77381	77199	76479	79436	79526	78252	83073	80669	83270	83975	83386	: 
DEATH_NR,AZ	52514	53580	53762	55017	54383	55648	54697	56648	57109	57250	55916	: 
DEATH_NR,BA	34904	35118	35522	35817	35662	34824	: 	35530	36336	37744	: 	: 
DEATH_NR,BE	103854	105152	104292	109076	109334	104755	110541	108097	109666	110693	108783	: 
DEATH_NR,BG	108068	110165	108258	109281	104345	108952	110117	107580	109791	108526	108083	: 
DEATH_NR,BY	135056	137132	135090	126531	125326	121542	120026	119379	119311	120053	120470	: 
DEATH_NR,CH	62476	62649	62091	64173	64961	63938	67606	64964	66971	67088	67780	: 
DEATH_NR,CY	5182	5103	5504	5665	5141	5424	5859	5471	5996	5768	6020 p	: 
DEATH_NR,CZ	107421	106844	106848	108189	109160	105665	111173	107750	111443	112920	112362	: 
DEATH_NR,DE	854544	858768	852328	869582	893825	868356	925200	910902	932272	954874	939536 p	: 
DEATH_NR,DK	54872	54368	52516	52325	52470	51340	52555	52824	53261	55232	53958	: 
DEATH_NR,EA18	3114287	3119910	3113466	3217199	3209520	3168857	3370740	3308905	3403781	3422944	3397974 p	: 
DEATH_NR,EA19	3156319	3162030	3154503	3258137	3251031	3209109	3412516	3350011	3443923	3462518	3436255 p	: 
DEATH_NR,EE	16081	15790	15244	15450	15244	15484	15243	15392	15543	15751	15401	: 
DEATH_NR,EL	108316	109084	111099	116668	111794	113740	121183	118788	124501	120296	125016 p	: 
DEATH_NR,ES	383209	380234	386017	401122	388600	393734	420408	408231	422037	425153	415070 p	: 
DEATH_NR,EU27_2007	4848944	4854217	4820030	4958661	4943817	4890608	5167478 e	5078313	5213188	5255052	5202953 p	: 
DEATH_NR,EU27_2020	4341741	4344647	4318817	4441347	4419258	4372607	4620411	4534200	4660917	4693445	4650126 p	: 
DEATH_NR,EU28	4901358	4906313	4871049	5010371	4994203	4941447	5221683 e	5129855	5266665	5307758	5254747 p	: 
DEATH_NR,FI	49883	50887	50585	51707	51472	52186	52492	53923	53722	54527	53949	: 
DEATH_NR,FR	548689	551369	545221	569986	569365	559435	593807	594005	606410	609747	612127 p	: 
DEATH_NR,FX	538116	540469	534795	559227	561000 e	: 	: 	: 	: 	: 	: 	: 
DEATH_NR,GE	46625	47864	49818	: 	48553	49087	49121	50771	47822	46524	46659	: 
DEATH_NR,HR	52414	52096	51019	51710	50386	50839	54205	51542	53477	52706	51794	: 
DEATH_NR,HU	130414	130456	128795	129440	126677	126294	131575	127098	131877	131247	129892	: 
DEATH_NR,IE	28380	27961	28456	29186	29504	29252	30127	30667	30317	31009	31134	: 
DEATH_NR,IS	2002	2020	1986	1955	2154	2049	2178	2309	2238	2254	2275	: 
DEATH_NR,IT	591663	587488	593427	612883	600744	598364	647571	615261	649061	633133	634432 p	: 
DEATH_NR,LI	229	238	248	224	246	268	252	271	249	274	262 p	: 
DEATH_NR,LT	42032	42120	41037	40938	41511	40252	41776	41106	40142	39574	38281	: 
DEATH_NR,LU	3655	3760	3819	3876	3822	3841	3983	3967	4263	4318	4283	: 
DEATH_NR,LV	29897	30040	28540	29025	28691	28466	28478	28580	28757	28820	27719	: 
DEATH_NR,MC	: 	: 	: 	: 	: 	: 	289 e	298 e	: 	253 e	: 	: 
DEATH_NR,MD	42139	43631	39249	39560	38060	39494	39906	38489	36727 p	: 	: 	: 
DEATH_NR,ME	5862	5633	5847	5922	5917	6014	6329	6464	6523	6504	6595	: 
DEATH_NR,MK	19060	19113	19465	20134	19208	19718	20461	20417	20318	19727	20446 e	: e
DEATH_NR,MT	3221	3010	3267	3418	3236	3270	3442	3342	3571	3688	3688	: 
DEATH_NR,NL	134235	136058	135741	140813	141245	139223	147134	148997	150214	153363	151815 p	: 
DEATH_NR,NO	41449	41499	41393	41992	41131	40369	40676	40726	40774	40840	40684	: 
DEATH_NR,PL	384940	378478	375501	384788	387312	376467	394921	388009	402852	414200	409709	: 
DEATH_NR,PT	104434	105953	102845	107612	106554	104843	108539	110573	109758	113051	111793	: 
DEATH_NR,RO	257213	259723	251439	255539	247475	254965	262442	258404	262321	263911	259307 p	: 
DEATH_NR,RS	104000	103211	102935	102400	100300	101247	103678	100834	103722	101655	101458	: 
DEATH_NR,RU	2010543	2028516	1925720	: 	1871809	1878039	: 	: 	: 	: 	: 	: 
DEATH_NR,SE	90080	90487	89938	91938	90402	88976	90907	90982	91972	92185	88766	: 
DEATH_NR,SI	18750	18609	18699	19257	19334	18886	19834	19689	20509	20485	20588	: 
DEATH_NR,SK	52913	53445	51903	52437	52089	51346	53826	52351	53914	54293	53234	: 
DEATH_NR,SM	: 	: 	222	237	247	252	235	253	278	244	251	: 
DEATH_NR,TR	392000	365707	375367	374855	372094	390121	405218	422135	425781	426106	435941	: 
DEATH_NR,UA	706739	698235	664588	663139	662368	632296	594796	583631	574123	587665	581114 e	: 
DEATH_NR,UK	559617	561666	552232	569024	574945	568840	601272	595655	605748	614313	604621 p	: 
DEATH_NR,XK	7037	7234	7111	7317	7135	7634	8202	8495	8721	8998	9430	: 
GDEATHRT_THSP,AD	3.2	2.8	: 	3.9	: 	: 	: 	4.3 e	: 	4.4	3.9	: 
GDEATHRT_THSP,AL	7	6.9	6.9	7.2	7	7.1	7.8	7.4	7.7	7.6	7.7	: 
GDEATHRT_THSP,AM	8.5	8.6	8.6	: 	9	: 	9.3	9.4	9.1	8.7	8.8	: 
GDEATHRT_THSP,AT	9.3	9.2	9.1	9.4	9	9.2	9.6	9.2	9.5	9.5	9.4	: 
GDEATHRT_THSP,AZ	5.9	5.9	5.9	5.9	6	5.8	5.7	5.8	5.8	5.8	5.6	: 
GDEATHRT_THSP,BA	9.1	9.1	9.2	9.3	9	9.1	: 	10.1	10.4	10.8 p	: 	: 
GDEATHRT_THSP,BE	9.6	9.7	9.4 b	9.8 b	10	9.3	9.8	9.5	9.6	9.7	9.5	: 
GDEATHRT_THSP,BG	14.5	14.9	14.7	15	14	15.1	15.3	15.1	15.5	15.4	15.5	: 
GDEATHRT_THSP,BY	14.1	14.5	14.3	13.4	13	12.8	12.6	12.6	12.6	12.7	12.8	: 
GDEATHRT_THSP,CH	8.1	8	7.8 b	8	8	7.8	8.2	7.8	7.9	7.9	7.9	: 
GDEATHRT_THSP,CY	6.4	6.2	6.5	6.6	6	6.4	6.9	6.4	7	6.6	6.8 p	: 
GDEATHRT_THSP,CZ	10.3	10.2	10.2	10.3	10	10	10.5	10.2	10.5	10.6	10.5	: 
GDEATHRT_THSP,DE	10.4	10.5	10.6 b	10.8	11	10.7	11.3	11.1	11.3	11.5	11.3 p	: 
GDEATHRT_THSP,DK	9.9	9.8	9.4	9.4	9	9.1	9.2	9.2	9.2	9.5	9.3	: 
GDEATHRT_THSP,EA18	9.4	9.4	9.4 b	9.7 b	10	9.5 b	10.0 b	9.8	10.1 b	10.1 ep	10.0 p	: 
GDEATHRT_THSP,EA19	9.4	9.4	9.4 b	9.7 b	10	9.5 b	10.1 b	9.8	10.1 b	10.1 ep	10.0 p	: 
GDEATHRT_THSP,EE	12.1	11.9	11.5	11.7	12	11.8	11.6 b	11.7	11.8	11.9	11.6	: 
GDEATHRT_THSP,EL	9.8	9.8	10	10.6	10	10.4	11.2	11	11.6	11.2	11.7 p	: 
GDEATHRT_THSP,ES	8.3	8.2	8.3	8.6	8	8.5	9.1	8.8	9.1	9.1	8.8 p	: 
GDEATHRT_THSP,EU27_2007	9.7	9.7 b	9.7 b	9.9 b	10	9.7 b	10.2 be	10	10.3 b	10.3 ep	10.2 p	: 
GDEATHRT_THSP,EU27_2020	9.9	9.9 b	9.8 b	10.1 b	10	9.9 b	10.4 b	10.2	10.5 b	10.5 ep	10.4 p	: 
GDEATHRT_THSP,EU28	9.8	9.7 b	9.7 b	9.9 b	10	9.7 b	10.3 be	10	10.3 b	10.3 ep	10.2 p	: 
GDEATHRT_THSP,FI	9.3	9.5	9.4	9.6	10	9.6	9.6	9.8	9.8	9.9	9.8	: 
GDEATHRT_THSP,FR	8.5	8.5	8.4	8.7	9	8.4 b	8.9	8.9	9.1	9.1 p	9.1 p	: 
GDEATHRT_THSP,FX	8.6	8.6	8.5	8.8	: 	: 	: 	: 	: 	: 	: 	: 
GDEATHRT_THSP,GE	10.6	10.7	11.1	: 	: 	11.9 be	13.2 e	13.6	12.8	12.5	12.5	: 
GDEATHRT_THSP,HR	12.2	12.1	11.9	12.1	12	12	12.9	12.4	12.9	12.9	12.7	: 
GDEATHRT_THSP,HU	13	13	12.9	13.0 b	13	12.8	13.4	13	13.5	13.4	13.3	: 
GDEATHRT_THSP,IE	6.3	6.1	6.2	6.3	6	6.3	6.4	6.4	6.3	6.4 e	6.3 e	: 
GDEATHRT_THSP,IS	6.3	6.4	6.2	6.1	7	6.3	6.6	6.9	6.5	6.4	6.3	: 
GDEATHRT_THSP,IT	10	9.9	10	10.3	10	9.8	10.7	10.1	10.7	10.5	10.5 p	: 
GDEATHRT_THSP,LI	6.4	6.6	6.8	6.1	7	7.2	6.7	7.2	6.6	7.2	6.8 p	: 
GDEATHRT_THSP,LT	13.3	13.6	13.6	13.7	14	13.7	14.4	14.3	14.2	14.1	13.7	: 
GDEATHRT_THSP,LU	7.3	7.4	7.4	7.3 b	7	6.9	7	6.8	7.1 b	7.1	6.9	: 
GDEATHRT_THSP,LV	14	14.3	13.9	14.3	14	14.3	14.4	14.6	14.8	15	14.5	: 
GDEATHRT_THSP,MC	: 	: 	: 	: 	: 	: 	7.6 e	7.9 e	: 	6.6 e	: 	: 
GDEATHRT_THSP,MD	11.8	12.2	11	11.1	11	11.1	11.2	10.8	10.3 p	: 	: 	: 
GDEATHRT_THSP,ME	9.5	9.1 b	9.4	9.5	10	9.7	10.2	10.4	10.5	10.5	10.6	: 
GDEATHRT_THSP,MK	9.3	9.3	9.5	9.8	9	9.5	9.9	9.9	9.8	9.5	9.8 e	: e
GDEATHRT_THSP,MT	7.8	7.3	7.8	8.1	8	7.5	7.7	7.3	7.6	7.6	7.3	: 
GDEATHRT_THSP,NL	8.1	8.2	8.1	8.4	8	8.3	8.7	8.7	8.8	8.9	8.8 p	: 
GDEATHRT_THSP,NO	8.6	8.5	8.4	8.4	8	7.9	7.8	7.8	7.7	7.7	7.6	: 
GDEATHRT_THSP,PL	10.1	9.9 b	9.9	10.1	10	9.9	10.4	10.2	10.6	10.9	10.8	: 
GDEATHRT_THSP,PT	9.9	10	9.7	10.2	10	10.1	10.5	10.7	10.7	11	10.9	: 
GDEATHRT_THSP,RO	12.6	12.8	12.5	12.7	12	12.8	13.2	13.1	13.4	13.6	13.4 p	: 
GDEATHRT_THSP,RS	14.2	14.2	14.2 b	14.2	14	14.2	14.6	14.3	14.8	14.6	14.6	: 
GDEATHRT_THSP,RU	14.2	14.2	13.5	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDEATHRT_THSP,SE	9.7	9.6	9.5	9.7	9	9.2	9.3	9.2	9.1	9.1	8.6	: 
GDEATHRT_THSP,SI	9.2	9.1	9.1	9.4	9	9.2	9.6	9.5	9.9	9.9	9.9	: 
GDEATHRT_THSP,SK	9.8	9.9	9.6	9.7	10	9.5	9.9	9.6	9.9	10	9.8	: 
GDEATHRT_THSP,SM	: 	: 	6.8	7.1	8	7.7	7.1	7.6	8.2	7.1	7.2	: 
GDEATHRT_THSP,TR	5.4	5	5.1	5.4	5	5.1	5.2	5.3	5.3	5.2	5.3	: 
GDEATHRT_THSP,UA	15.4	15.3	14.6	14.6	15	: 	13.9 b	13.7	13.6	14	13.9 e	: 
GDEATHRT_THSP,UK	9	8.9	8.7	8.9	9	8.8	9.2	9.1	9.2	9.2	9.0 p	: 
GDEATHRT_THSP,XK	3.2	3.6 b	4.0 b	4.1 e	3.9 e	4.2 e	4.6 e	4.8 e	4.9 e	5	5.3	: 
